lakeid,year4,gearid,spname,effort,total_caught
AL,1983,BSEINE,ROCKBASS,15,6
AL,1983,BSEINE,SMALLMOUTHBASS,15,1
AL,1983,BSEINE,YELLOWBULLHEAD,15,5
AL,1983,BSEINE,YELLOWPERCH,15,13
AL,1983,CRAYTR,BLUEGILL,28,2
AL,1983,CRAYTR,ROCKBASS,28,1
AL,1983,CRAYTR,UNIDSUNFISH,28,2
AL,1983,ELFISH,BLACKCRAPPIE,4,8
AL,1983,ELFISH,BLUEGILL,4,30
AL,1983,ELFISH,COMMONSHINER,4,3
AL,1983,ELFISH,GOLDENSHINER,4,2
AL,1983,ELFISH,LARGEMOUTHBASS,4,17
AL,1983,ELFISH,LOGPERCH,4,2
AL,1983,ELFISH,NORTHERNPIKE,4,1
AL,1983,ELFISH,PUMPKINSEED,4,25
AL,1983,ELFISH,ROCKBASS,4,8
AL,1983,ELFISH,WALLEYE,4,4
AL,1983,ELFISH,WHITESUCKER,4,14
AL,1983,ELFISH,YELLOWPERCH,4,59
AL,1983,FYKNET,BLACKCRAPPIE,6,18
AL,1983,FYKNET,BLACKNOSESHINER,6,2
AL,1983,FYKNET,BLUEGILL,6,78
AL,1983,FYKNET,BLUNTNOSEMINNOW,6,1
AL,1983,FYKNET,LARGEMOUTHBASS,6,21
AL,1983,FYKNET,NORTHERNPIKE,6,1
AL,1983,FYKNET,PUMPKINSEED,6,4
AL,1983,FYKNET,ROCKBASS,6,7
AL,1983,FYKNET,UNIDSUNFISH,6,147
AL,1983,FYKNET,WHITESUCKER,6,3
AL,1983,FYKNET,YELLOWBULLHEAD,6,2
AL,1983,FYKNET,YELLOWPERCH,6,16
AL,1983,TRAMML,BLACKCRAPPIE,2,4
AL,1983,TRAMML,NORTHERNPIKE,2,2
AL,1983,TRAMML,WALLEYE,2,2
AL,1983,TRAMML,WHITESUCKER,2,11
AL,1983,TRAMML,YELLOWPERCH,2,1
AL,1983,VGN019,YELLOWPERCH,2,49
AL,1983,VGN032,YELLOWPERCH,2,1
AL,1984,BSEINE,BLACKCHINSHINER,18,2
AL,1984,BSEINE,BLACKCRAPPIE,18,14
AL,1984,BSEINE,BLUEGILL,18,111
AL,1984,BSEINE,BLUNTNOSEMINNOW,18,55
AL,1984,BSEINE,COMMONSHINER,18,1
AL,1984,BSEINE,GOLDENSHINER,18,30
AL,1984,BSEINE,JOHNNYDARTER,18,6
AL,1984,BSEINE,LARGEMOUTHBASS,18,4
AL,1984,BSEINE,MOTTLEDSCULPIN,18,2
AL,1984,BSEINE,ROCKBASS,18,5
AL,1984,BSEINE,YELLOWPERCH,18,11
AL,1984,ELFISH,BLACKCRAPPIE,4,8
AL,1984,ELFISH,BLUEGILL,4,22
AL,1984,ELFISH,GOLDENSHINER,4,1
AL,1984,ELFISH,LARGEMOUTHBASS,4,9
AL,1984,ELFISH,NORTHERNPIKE,4,3
AL,1984,ELFISH,PUMPKINSEED,4,6
AL,1984,ELFISH,ROCKBASS,4,7
AL,1984,ELFISH,SMALLMOUTHBASS,4,3
AL,1984,ELFISH,WALLEYE,4,41
AL,1984,ELFISH,WHITESUCKER,4,30
AL,1984,ELFISH,YELLOWPERCH,4,44
AL,1984,FYKNET,BLACKCRAPPIE,6,7
AL,1984,FYKNET,BLUEGILL,6,188
AL,1984,FYKNET,LARGEMOUTHBASS,6,6
AL,1984,FYKNET,PUMPKINSEED,6,12
AL,1984,FYKNET,ROCKBASS,6,11
AL,1984,FYKNET,SMALLMOUTHBASS,6,1
AL,1984,FYKNET,YELLOWBULLHEAD,6,3
AL,1984,FYKNET,YELLOWPERCH,6,3
AL,1984,TRAMML,WALLEYE,2,1
AL,1984,TRAMML,WHITESUCKER,2,4
AL,1984,TRAMML,YELLOWPERCH,2,7
AL,1985,BSEINE,BLACKCHINSHINER,18,4
AL,1985,BSEINE,BLACKCRAPPIE,18,25
AL,1985,BSEINE,BLUEGILL,18,38
AL,1985,BSEINE,BLUNTNOSEMINNOW,18,8
AL,1985,BSEINE,GOLDENSHINER,18,80
AL,1985,BSEINE,IOWADARTER,18,1
AL,1985,BSEINE,JOHNNYDARTER,18,1
AL,1985,BSEINE,LARGEMOUTHBASS,18,4
AL,1985,BSEINE,LOGPERCH,18,6
AL,1985,BSEINE,MOTTLEDSCULPIN,18,1
AL,1985,BSEINE,MUSKELLUNGE,18,1
AL,1985,BSEINE,NORTHERNPIKE,18,1
AL,1985,BSEINE,PUMPKINSEED,18,1
AL,1985,BSEINE,ROCKBASS,18,9
AL,1985,BSEINE,WALLEYE,18,1
AL,1985,BSEINE,YELLOWBULLHEAD,18,3
AL,1985,BSEINE,YELLOWPERCH,18,27
AL,1985,ELFISH,BLACKCRAPPIE,4,36
AL,1985,ELFISH,BLUEGILL,4,12
AL,1985,ELFISH,LARGEMOUTHBASS,4,3
AL,1985,ELFISH,MUSKELLUNGE,4,3
AL,1985,ELFISH,NORTHERNPIKE,4,7
AL,1985,ELFISH,PUMPKINSEED,4,3
AL,1985,ELFISH,ROCKBASS,4,2
AL,1985,ELFISH,WALLEYE,4,40
AL,1985,ELFISH,WHITESUCKER,4,19
AL,1985,ELFISH,YELLOWBULLHEAD,4,1
AL,1985,ELFISH,YELLOWPERCH,4,17
AL,1985,FYKNET,BLACKCHINSHINER,6,2
AL,1985,FYKNET,BLACKCRAPPIE,6,6
AL,1985,FYKNET,BLUEGILL,6,59
AL,1985,FYKNET,GOLDENSHINER,6,4
AL,1985,FYKNET,LARGEMOUTHBASS,6,21
AL,1985,FYKNET,LOGPERCH,6,2
AL,1985,FYKNET,PUMPKINSEED,6,14
AL,1985,FYKNET,ROCKBASS,6,11
AL,1985,FYKNET,WHITESUCKER,6,1
AL,1985,FYKNET,YELLOWBULLHEAD,6,2
AL,1985,FYKNET,YELLOWPERCH,6,96
AL,1985,TRAMML,BLACKCRAPPIE,2,5
AL,1985,TRAMML,BLUEGILL,2,46
AL,1985,TRAMML,NORTHERNPIKE,2,1
AL,1985,TRAMML,PUMPKINSEED,2,1
AL,1985,TRAMML,WALLEYE,2,2
AL,1985,TRAMML,WHITESUCKER,2,2
AL,1985,TRAMML,YELLOWPERCH,2,16
AL,1985,VGN019,WALLEYE,2,1
AL,1985,VGN019,YELLOWPERCH,2,2
AL,1985,VGN025,MUSKELLUNGE,2,1
AL,1985,VGN032,BLACKCRAPPIE,2,1
AL,1985,VGN032,GOLDENSHINER,2,1
AL,1986,BSEINE,BLACKCRAPPIE,18,20
AL,1986,BSEINE,BLACKNOSESHINER,18,8
AL,1986,BSEINE,BLUEGILL,18,149
AL,1986,BSEINE,BLUNTNOSEMINNOW,18,13
AL,1986,BSEINE,COMMONSHINER,18,1
AL,1986,BSEINE,GOLDENSHINER,18,9
AL,1986,BSEINE,JOHNNYDARTER,18,5
AL,1986,BSEINE,LARGEMOUTHBASS,18,3
AL,1986,BSEINE,LOGPERCH,18,1
AL,1986,BSEINE,MOTTLEDSCULPIN,18,1
AL,1986,BSEINE,ROCKBASS,18,3
AL,1986,BSEINE,SMALLMOUTHBASS,18,1
AL,1986,BSEINE,UNIDSUNFISH,18,29
AL,1986,BSEINE,YELLOWPERCH,18,34
AL,1986,CRAYTR,BLUNTNOSEMINNOW,30,1
AL,1986,CRAYTR,ROCKBASS,30,1
AL,1986,CRAYTR,UNIDSUNFISH,30,6
AL,1986,ELFISH,BLACKCRAPPIE,4,26
AL,1986,ELFISH,BLACKNOSESHINER,4,1
AL,1986,ELFISH,BLUEGILL,4,101
AL,1986,ELFISH,COMMONSHINER,4,3
AL,1986,ELFISH,GOLDENSHINER,4,18
AL,1986,ELFISH,JOHNNYDARTER,4,5
AL,1986,ELFISH,LOGPERCH,4,8
AL,1986,ELFISH,MOTTLEDSCULPIN,4,1
AL,1986,ELFISH,MUSKELLUNGE,4,2
AL,1986,ELFISH,NORTHERNPIKE,4,3
AL,1986,ELFISH,PUMPKINSEED,4,21
AL,1986,ELFISH,ROCKBASS,4,5
AL,1986,ELFISH,SMALLMOUTHBASS,4,15
AL,1986,ELFISH,UNIDSUNFISH,4,5
AL,1986,ELFISH,WALLEYE,4,9
AL,1986,ELFISH,WHITESUCKER,4,15
AL,1986,ELFISH,YELLOWBULLHEAD,4,2
AL,1986,ELFISH,YELLOWPERCH,4,97
AL,1986,FYKNET,BLACKCRAPPIE,6,4
AL,1986,FYKNET,BLUEGILL,6,46
AL,1986,FYKNET,BLUNTNOSEMINNOW,6,2
AL,1986,FYKNET,LARGEMOUTHBASS,6,11
AL,1986,FYKNET,PUMPKINSEED,6,14
AL,1986,FYKNET,UNIDSUNFISH,6,95
AL,1986,FYKNET,WHITESUCKER,6,3
AL,1986,FYKNET,YELLOWBULLHEAD,6,3
AL,1986,FYKNET,YELLOWPERCH,6,4
AL,1986,TRAMML,BLUEGILL,2,60
AL,1986,TRAMML,NORTHERNPIKE,2,1
AL,1986,TRAMML,PUMPKINSEED,2,6
AL,1986,TRAMML,ROCKBASS,2,2
AL,1986,TRAMML,WHITESUCKER,2,4
AL,1986,TRAMML,YELLOWBULLHEAD,2,1
AL,1986,TRAMML,YELLOWPERCH,2,22
AL,1986,VGN019,LARGEMOUTHBASS,2,1
AL,1986,VGN019,WALLEYE,2,1
AL,1986,VGN019,YELLOWPERCH,2,28
AL,1986,VGN025,WALLEYE,2,1
AL,1986,VGN089,BLACKCRAPPIE,2,2
AL,1987,BSEINE,BLACKCRAPPIE,17,5
AL,1987,BSEINE,BLUEGILL,17,135
AL,1987,BSEINE,BLUNTNOSEMINNOW,17,65
AL,1987,BSEINE,COMMONSHINER,17,24
AL,1987,BSEINE,GOLDENSHINER,17,5
AL,1987,BSEINE,IOWADARTER,17,5
AL,1987,BSEINE,LARGEMOUTHBASS,17,5
AL,1987,BSEINE,LOGPERCH,17,2
AL,1987,BSEINE,MIMICSHINER,17,1
AL,1987,BSEINE,PUMPKINSEED,17,2
AL,1987,BSEINE,ROCKBASS,17,8
AL,1987,BSEINE,SMALLMOUTHBASS,17,4
AL,1987,BSEINE,UNIDSUNFISH,17,4
AL,1987,BSEINE,YELLOWPERCH,17,14
AL,1987,CRAYTR,BLUEGILL,30,4
AL,1987,CRAYTR,JOHNNYDARTER,30,1
AL,1987,ELFISH,BLUEGILL,4,54
AL,1987,ELFISH,COMMONSHINER,4,1
AL,1987,ELFISH,LARGEMOUTHBASS,4,13
AL,1987,ELFISH,MUSKELLUNGE,4,1
AL,1987,ELFISH,NORTHERNPIKE,4,2
AL,1987,ELFISH,PUMPKINSEED,4,39
AL,1987,ELFISH,ROCKBASS,4,9
AL,1987,ELFISH,SMALLMOUTHBASS,4,1
AL,1987,ELFISH,WALLEYE,4,10
AL,1987,ELFISH,WHITESUCKER,4,18
AL,1987,ELFISH,YELLOWBULLHEAD,4,4
AL,1987,ELFISH,YELLOWPERCH,4,26
AL,1987,FYKNET,BLACKCRAPPIE,6,2
AL,1987,FYKNET,BLUEGILL,6,111
AL,1987,FYKNET,BLUNTNOSEMINNOW,6,4
AL,1987,FYKNET,COMMONSHINER,6,1
AL,1987,FYKNET,LARGEMOUTHBASS,6,29
AL,1987,FYKNET,MOTTLEDSCULPIN,6,1
AL,1987,FYKNET,PUMPKINSEED,6,18
AL,1987,FYKNET,ROCKBASS,6,4
AL,1987,FYKNET,YELLOWBULLHEAD,6,4
AL,1987,FYKNET,YELLOWPERCH,6,4
AL,1987,TRAMML,BLUEGILL,2,22
AL,1987,TRAMML,NORTHERNPIKE,2,1
AL,1987,TRAMML,PUMPKINSEED,2,3
AL,1987,TRAMML,WALLEYE,2,3
AL,1987,TRAMML,WHITESUCKER,2,5
AL,1987,TRAMML,YELLOWPERCH,2,14
AL,1987,VGN019,GOLDENSHINER,2,2
AL,1987,VGN019,LARGEMOUTHBASS,2,1
AL,1987,VGN019,YELLOWPERCH,2,54
AL,1987,VGN025,GOLDENSHINER,2,1
AL,1987,VGN025,LARGEMOUTHBASS,2,12
AL,1987,VGN032,BLACKCRAPPIE,2,1
AL,1987,VGN038,BLACKCRAPPIE,2,1
AL,1987,VGN038,COMMONSHINER,2,1
AL,1988,BSEINE,BLACKCRAPPIE,15,4
AL,1988,BSEINE,BLACKNOSESHINER,15,2
AL,1988,BSEINE,BLUEGILL,15,95
AL,1988,BSEINE,BLUNTNOSEMINNOW,15,25
AL,1988,BSEINE,COMMONSHINER,15,1
AL,1988,BSEINE,GOLDENSHINER,15,3
AL,1988,BSEINE,JOHNNYDARTER,15,5
AL,1988,BSEINE,ROCKBASS,15,9
AL,1988,BSEINE,YELLOWPERCH,15,1
AL,1988,CRAYTR,BLUEGILL,30,9
AL,1988,CRAYTR,PUMPKINSEED,30,4
AL,1988,CRAYTR,ROCKBASS,30,1
AL,1988,CRAYTR,YELLOWPERCH,30,1
AL,1988,FYKNET,BLACKCRAPPIE,6,1
AL,1988,FYKNET,BLUEGILL,6,81
AL,1988,FYKNET,PUMPKINSEED,6,20
AL,1988,FYKNET,ROCKBASS,6,5
AL,1988,FYKNET,YELLOWBULLHEAD,6,3
AL,1988,FYKNET,YELLOWPERCH,6,1
AL,1988,TRAMML,BLACKBULLHEAD,2,2
AL,1988,TRAMML,BLUEGILL,2,56
AL,1988,TRAMML,MUSKELLUNGE,2,1
AL,1988,TRAMML,NORTHERNPIKE,2,13
AL,1988,TRAMML,PUMPKINSEED,2,31
AL,1988,TRAMML,ROCKBASS,2,6
AL,1988,TRAMML,SMALLMOUTHBASS,2,1
AL,1988,TRAMML,WALLEYE,2,5
AL,1988,TRAMML,WHITESUCKER,2,2
AL,1988,TRAMML,YELLOWBULLHEAD,2,17
AL,1988,TRAMML,YELLOWPERCH,2,6
AL,1988,VGN019,HORNYHEADCHUB,2,2
AL,1988,VGN019,SMALLMOUTHBASS,2,1
AL,1988,VGN019,YELLOWPERCH,2,213
AL,1988,VGN025,HORNYHEADCHUB,2,4
AL,1988,VGN025,LARGEMOUTHBASS,2,6
AL,1988,VGN025,YELLOWPERCH,2,4
AL,1988,VGN032,YELLOWPERCH,2,18
AL,1988,VGN038,UNIDMINNOW,2,1
AL,1988,VGN038,WALLEYE,2,1
AL,1988,VGN038,YELLOWPERCH,2,23
AL,1988,VGN089,WALLEYE,2,1
AL,1989,BSEINE,BLACKCRAPPIE,18,12
AL,1989,BSEINE,BLACKNOSESHINER,18,8
AL,1989,BSEINE,BLUEGILL,18,65
AL,1989,BSEINE,BLUNTNOSEMINNOW,18,27
AL,1989,BSEINE,COMMONSHINER,18,2
AL,1989,BSEINE,GOLDENSHINER,18,3
AL,1989,BSEINE,JOHNNYDARTER,18,12
AL,1989,BSEINE,LARGEMOUTHBASS,18,1
AL,1989,BSEINE,PUMPKINSEED,18,3
AL,1989,BSEINE,ROCKBASS,18,3
AL,1989,BSEINE,UNIDREDHORSE,18,1
AL,1989,BSEINE,WALLEYE,18,1
AL,1989,BSEINE,YELLOWBULLHEAD,18,2
AL,1989,BSEINE,YELLOWPERCH,18,78
AL,1989,CRAYTR,BLACKNOSESHINER,30,1
AL,1989,CRAYTR,MOTTLEDSCULPIN,30,1
AL,1989,CRAYTR,PUMPKINSEED,30,1
AL,1989,CRAYTR,YELLOWPERCH,30,1
AL,1989,ELFISH,BLACKCRAPPIE,4,3
AL,1989,ELFISH,BLUEGILL,4,33
AL,1989,ELFISH,COMMONSHINER,4,3
AL,1989,ELFISH,GOLDENSHINER,4,4
AL,1989,ELFISH,IOWADARTER,4,1
AL,1989,ELFISH,LARGEMOUTHBASS,4,27
AL,1989,ELFISH,MUSKELLUNGE,4,1
AL,1989,ELFISH,NORTHERNPIKE,4,4
AL,1989,ELFISH,PUMPKINSEED,4,53
AL,1989,ELFISH,ROCKBASS,4,2
AL,1989,ELFISH,WALLEYE,4,11
AL,1989,ELFISH,WHITESUCKER,4,10
AL,1989,ELFISH,YELLOWBULLHEAD,4,4
AL,1989,ELFISH,YELLOWPERCH,4,62
AL,1989,FYKNET,BLACKBULLHEAD,6,3
AL,1989,FYKNET,BLACKCRAPPIE,6,3
AL,1989,FYKNET,BLUEGILL,6,21
AL,1989,FYKNET,IOWADARTER,6,1
AL,1989,FYKNET,LARGEMOUTHBASS,6,24
AL,1989,FYKNET,NORTHERNPIKE,6,1
AL,1989,FYKNET,PUMPKINSEED,6,12
AL,1989,FYKNET,ROCKBASS,6,5
AL,1989,FYKNET,YELLOWBULLHEAD,6,8
AL,1989,FYKNET,YELLOWPERCH,6,4
AL,1989,TRAMML,BLACKBULLHEAD,2,1
AL,1989,TRAMML,BLACKCRAPPIE,2,3
AL,1989,TRAMML,BLUEGILL,2,39
AL,1989,TRAMML,MUSKELLUNGE,2,2
AL,1989,TRAMML,NORTHERNPIKE,2,8
AL,1989,TRAMML,PUMPKINSEED,2,15
AL,1989,TRAMML,ROCKBASS,2,5
AL,1989,TRAMML,WALLEYE,2,2
AL,1989,TRAMML,WHITESUCKER,2,3
AL,1989,TRAMML,YELLOWBULLHEAD,2,10
AL,1989,TRAMML,YELLOWPERCH,2,11
AL,1989,VGN019,LARGEMOUTHBASS,2,1
AL,1989,VGN032,COMMONSHINER,2,1
AL,1989,VGN032,GOLDENSHINER,2,2
AL,1989,VGN038,BLACKCRAPPIE,2,1
AL,1989,VGN038,GOLDENSHINER,2,1
AL,1989,VGN038,YELLOWPERCH,2,1
AL,1989,VGN051,BLACKCRAPPIE,2,2
AL,1989,VGN064,BLACKCRAPPIE,2,5
AL,1990,BSEINE,BLACKCHINSHINER,18,25
AL,1990,BSEINE,BLACKNOSESHINER,18,24
AL,1990,BSEINE,BLUEGILL,18,434
AL,1990,BSEINE,BLUNTNOSEMINNOW,18,90
AL,1990,BSEINE,COMMONSHINER,18,21
AL,1990,BSEINE,GOLDENSHINER,18,89
AL,1990,BSEINE,IOWADARTER,18,1
AL,1990,BSEINE,JOHNNYDARTER,18,10
AL,1990,BSEINE,LARGEMOUTHBASS,18,6
AL,1990,BSEINE,LOGPERCH,18,1
AL,1990,BSEINE,MIMICSHINER,18,5
AL,1990,BSEINE,MOTTLEDSCULPIN,18,3
AL,1990,BSEINE,MUSKELLUNGE,18,1
AL,1990,BSEINE,NORTHERNPIKE,18,2
AL,1990,BSEINE,PUMPKINSEED,18,2
AL,1990,BSEINE,ROCKBASS,18,11
AL,1990,BSEINE,UNIDMINNOW,18,7
AL,1990,BSEINE,WALLEYE,18,2
AL,1990,BSEINE,YELLOWPERCH,18,130
AL,1990,CRAYTR,BLUEGILL,29,1
AL,1990,CRAYTR,BLUNTNOSEMINNOW,29,2
AL,1990,CRAYTR,YELLOWPERCH,29,5
AL,1990,ELFISH,BLACKCHINSHINER,4,1
AL,1990,ELFISH,BLACKCRAPPIE,4,3
AL,1990,ELFISH,BLUEGILL,4,54
AL,1990,ELFISH,COMMONSHINER,4,1
AL,1990,ELFISH,GOLDENSHINER,4,3
AL,1990,ELFISH,LARGEMOUTHBASS,4,19
AL,1990,ELFISH,MUSKELLUNGE,4,1
AL,1990,ELFISH,NORTHERNPIKE,4,4
AL,1990,ELFISH,PUMPKINSEED,4,37
AL,1990,ELFISH,ROCKBASS,4,3
AL,1990,ELFISH,SMALLMOUTHBASS,4,7
AL,1990,ELFISH,WALLEYE,4,4
AL,1990,ELFISH,WHITESUCKER,4,6
AL,1990,ELFISH,YELLOWBULLHEAD,4,2
AL,1990,ELFISH,YELLOWPERCH,4,59
AL,1990,FYKNET,BLACKCRAPPIE,6,2
AL,1990,FYKNET,BLUEGILL,6,70
AL,1990,FYKNET,BLUNTNOSEMINNOW,6,4
AL,1990,FYKNET,LARGEMOUTHBASS,6,23
AL,1990,FYKNET,PUMPKINSEED,6,4
AL,1990,FYKNET,ROCKBASS,6,6
AL,1990,FYKNET,YELLOWPERCH,6,15
AL,1990,TRAMML,BLUEGILL,2,23
AL,1990,TRAMML,NORTHERNPIKE,2,3
AL,1990,TRAMML,PUMPKINSEED,2,6
AL,1990,TRAMML,ROCKBASS,2,1
AL,1990,TRAMML,WALLEYE,2,1
AL,1990,TRAMML,WHITESUCKER,2,4
AL,1990,TRAMML,YELLOWPERCH,2,12
AL,1990,VGN019,YELLOWPERCH,2,1
AL,1990,VGN025,GOLDENSHINER,2,1
AL,1990,VGN038,WALLEYE,2,3
AL,1991,BSEINE,BLACKCHINSHINER,18,1
AL,1991,BSEINE,BLACKNOSESHINER,18,54
AL,1991,BSEINE,BLUEGILL,18,1426
AL,1991,BSEINE,BLUNTNOSEMINNOW,18,457
AL,1991,BSEINE,COMMONSHINER,18,20
AL,1991,BSEINE,GOLDENSHINER,18,52
AL,1991,BSEINE,IOWADARTER,18,4
AL,1991,BSEINE,JOHNNYDARTER,18,59
AL,1991,BSEINE,LARGEMOUTHBASS,18,130
AL,1991,BSEINE,LOGPERCH,18,10
AL,1991,BSEINE,MOTTLEDSCULPIN,18,3
AL,1991,BSEINE,NORTHERNPIKE,18,1
AL,1991,BSEINE,PUMPKINSEED,18,8
AL,1991,BSEINE,ROCKBASS,18,29
AL,1991,BSEINE,UNIDENTIFIED,18,1
AL,1991,BSEINE,WHITESUCKER,18,1
AL,1991,BSEINE,YELLOWBULLHEAD,18,7
AL,1991,BSEINE,YELLOWPERCH,18,845
AL,1991,CRAYTR,BLACKCRAPPIE,30,7
AL,1991,CRAYTR,BLUEGILL,30,5
AL,1991,CRAYTR,BLUNTNOSEMINNOW,30,2
AL,1991,CRAYTR,NORTHERNPIKE,30,1
AL,1991,ELFISH,BLACKCRAPPIE,4,51
AL,1991,ELFISH,BLUEGILL,4,263
AL,1991,ELFISH,BLUNTNOSEMINNOW,4,4
AL,1991,ELFISH,COMMONSHINER,4,1
AL,1991,ELFISH,GOLDENSHINER,4,2
AL,1991,ELFISH,IOWADARTER,4,1
