lakeid,year4,sampledate,mid_sample_time,mid_latitude,mid_longitude,sv_mean,nasc,mean_height,mean_depth,number_pings,species,species_ts,density
TR,2011,8/25/11,2225,46.03611,-89.669303,-62.254254,618.741866,24.12,14.26,7543,CISCO,-38,38792.01714
TR,2011,8/25/11,2225,46.03611,-89.669303,-62.254254,618.741866,24.12,14.26,7543,LAKETROUT,-31,23959.77529
TR,2011,8/25/11,2225,46.03611,-89.669303,-62.254254,618.741866,24.12,14.26,7543,LAKEWHITEFISH,-33.2,27382.60033
TR,2011,8/25/11,2225,46.03611,-89.669303,-62.254254,618.741866,24.12,14.26,7543,WALLEYE,-33.4,23959.77529
TR,2012,7/23/12,2234,46.03751,-89.661827,-62.576051,611.302827,25.67,14.33,8133,CISCO,-38,153105.2399
TR,2012,7/23/12,2234,46.03751,-89.661827,-62.576051,611.302827,25.67,14.33,8133,walleye,-32.8,5587.782478
TR,2012,7/23/12,2234,46.03751,-89.661827,-62.576051,611.302827,25.67,14.33,8133,LAKETROUT,-29.5,12293.12145
TR,2012,7/23/12,2234,46.03751,-89.661827,-62.576051,611.302827,25.67,14.33,8133,LAKEWHITEFISH,-33,15273.27211
SP,2012,7/23/12,2130,46.006404,-89.700806,-59.163738,687.035005,13.15,7.91,4340,RAINBOWSMELT,-45,1675302.469
SP,2012,7/23/12,2130,46.006404,-89.700806,-59.163738,687.035005,13.15,7.91,4340,walleye,-48,106934.2002
ME,2012,7/31/12,2108,43.114042,-89.431389,-67.915958,113.820416,16.34,9.55,15032,whitebass,-38,28174.00703
ME,2012,7/31/12,2108,43.114042,-89.431389,-67.915958,113.820416,16.34,9.55,15032,yellowperch,-38.4,31770.68878
CR,2012,7/19/12,2151,46.001295,-89.614911,-56.578608,1295.530405,13.67,8.11,7889,RAINBOWSMELT,-45,2893668.834
CR,2012,7/19/12,2151,46.001295,-89.614911,-56.578608,1295.530405,13.67,8.11,7889,yellowperch,-41,145899.2689
CR,2013,8/25/10,2038,46.00166,-89.615425,-58.632825,810.098844,13.72,8.17,6521,RAINBOWSMELT,-45.64,1840141.854
CR,2013,8/25/10,2038,46.00166,-89.615425,-58.632825,810.098844,13.72,8.17,6521,YELLOWPERCH,-40.2,149200.6908
SP,2013,8/15/13,2225,46.009431,-89.697953,-58.884765,719.362938,12.91,7.84,5918,RAINBOWSMELT,-47.49,443984.4005
SP,2013,8/15/13,2225,46.009431,-89.697953,-58.884765,719.362938,12.91,7.84,5918,WALLEYE,-30,49331.60006
TR,2013,8/14/13,2103,46.038156,-89.667362,-60.96396,848.986348,24.59,14.6,9389,WALLEYE,-33.2,13375.45987
TR,2013,8/14/13,2103,46.038156,-89.667362,-60.96396,848.986348,24.59,14.6,9389,LAKEWHITEFISH,-33.1,12346.57834
TR,2013,8/14/13,2103,46.038156,-89.667362,-60.96396,848.986348,24.59,14.6,9389,LAKETROUT,-30.5,14404.3414
TR,2013,8/14/13,2103,46.038156,-89.667362,-60.96396,848.986348,24.59,14.6,9389,CISCO,-40.5,474314.3847
ME,2013,8/13/13,2216,43.11177,-89.439975,-70.425911,65.041846,16.65,9.92,15971,WHITEBASS,-36.5,2001.151778
ME,2013,8/13/13,2216,43.11177,-89.439975,-70.425911,65.041846,16.65,9.92,15971,YELLOWPERCH,-37.5,26586.73076
CR,2014,8/6/14,2050,46.002684,-89.61282,-59.433533,552.304443,11.25,7.51,9835,RAINBOWSMELT,-45.64,1555544.091
CR,2014,8/6/14,2050,46.002684,-89.61282,-59.433533,552.304443,11.25,7.51,9835,YELLOWPERCH,-40.2,15712.56658
ME,2014,8/14/14,2013,43.105766,-89.434848,-70.52403,65.77359,17.22,10.28,18690,YELLOWPERCH,-47.1,268436.5699
SP,2014,8/7/14,2252,46.009022,-89.70015,-60.93261,422.25393,12.14,7.9,13755,RAINBOWSMELT,-47.7,1978626.567
TR,2014,8/7/14,2053,46.036815,-89.6606,-60.999588,885.787257,25.87,14.66,6301,CISCO,-41.1,908070.4936
CR,2015,7/29/15,1849,46.00145,-89.614553,-67.471022,111.829423,14.49,8.63,5329,RAINBOWSMELT,-43.6,138629.333
CR,2015,7/29/15,1849,46.00145,-89.614553,-67.471022,111.829423,14.49,8.63,5329,YELLOWPERCH,-43.6,65237.33316
ME,2015,8/4/15,1841,43.117777,-89.433941,-71.025467,58.470899,17.18,10.06,12599,WHITEBASS,-45,97442.84119
ME,2015,8/4/15,1841,43.117777,-89.433941,-71.025467,58.470899,17.18,10.06,12599,FRESHWATERDRUM,-45,48721.4206
SP,2015,7/29/15,1957,46.010374,-89.700917,-61.929026,384.105257,13.9,8.36,3155,RAINBOWSMELT,-46.8,1462986.731
TR,2015,7/30/15,1916,46.038646,-89.655986,-61.785406,748.363506,26.19,14.67,7797,CISCO,-40,421699.8342
TR,2015,7/30/15,1916,46.038646,-89.655986,-61.785406,748.363506,26.19,14.67,7797,LAKETROUT,-30,11215.42112
TR,2015,7/30/15,1916,46.038646,-89.655986,-61.785406,748.363506,26.19,14.67,7797,LAKEWHITEFISH,-34,12561.27166
TR,2015,7/30/15,1916,46.038646,-89.655986,-61.785406,748.363506,26.19,14.67,7797,WALLEYE,-34.3,3140.317914
CR,2016,7/25/16,2122,46.001903,-89.615515,-62.551027,332.775418,13.89,8.69,5011,RAINBOWSMELT,-45,484932.0918
CR,2016,7/25/16,2122,46.001903,-89.615515,-62.551027,332.775418,13.89,8.69,5011,YELLOWPERCH,-39.8,106448.508
ME,2016,8/17/16,2340,43.105993,-89.451383,-67.062146,133.8327,15.79,8.79,94932,WHITEBASS,-38,36015.75007
ME,2016,8/17/16,2340,43.105993,-89.451383,-67.062146,133.8327,15.79,8.79,94932,CISCO,-33.5,11063.66179
SP,2016,7/24/16,2105,46.008832,-89.699897,-58.83773,706.063027,12.54,8.33,3298,RAINBOWSMELT,-47.1,2881599.408
TR,2016,7/24/16,2301,46.039106,-89.668236,-59.469064,1164.322838,23.9,13.82,10902,CISCO,-39,613262.2492
TR,2016,7/24/16,2301,46.039106,-89.668236,-59.469064,1164.322838,23.9,13.82,10902,LAKEWHITEFISH,-33.2,32276.96048
CR,2017,8/7/17,2029,46.001716,-89.616163,-69.496305,66.773326,13.8,9.28,3426,YELLOWPERCH,-41.6,30870.21704
CR,2017,8/7/17,2029,46.001716,-89.616163,-69.496305,66.773326,13.8,9.28,3426,RAINBOWSMELT,-42,50367.19623
ME,2017,8/7/17,27,43.097968,-89.454015,-65.741624,191.559743,16.67,9.52,105812,WALLEYE,-37.4,31954.07943
ME,2017,8/7/17,27,43.097968,-89.454015,-65.741624,191.559743,16.67,9.52,105812,WHITEBASS,-37.9,15977.03972
ME,2017,8/7/17,27,43.097968,-89.454015,-65.741624,191.559743,16.67,9.52,105812,FRESHWATERDRUM,-35.9,15977.03972
ME,2017,8/7/17,27,43.097968,-89.454015,-65.741624,191.559743,16.67,9.52,105812,CISCO,-34.7,8060.488505
SP,2017,7/29/17,2047,46.007433,-89.70219,-61.310693,435.347793,13.66,9.5,7277,RAINBOWSMELT,-44.5,976397.1048
TR,2017,7/29/17,2219,46.03948,-89.666035,-60.742255,901.988598,24.83,15.05,13076,CISCO,-41.5,860743.8211
TR,2017,7/29/17,2219,46.03948,-89.666035,-60.742255,901.988598,24.83,15.05,13076,WALLEYE,-33.7,7062.513404
TR,2017,7/29/17,2219,46.03948,-89.666035,-60.742255,901.988598,24.83,15.05,13076,LAKEWHITEFISH,-34.25,12359.39846
TR,2017,7/29/17,2219,46.03948,-89.666035,-60.742255,901.988598,24.83,15.05,13076,LAKETROUT,-29.2,2648.442526
CR,2018,7/17/18,2233,46.002656,-89.61452,-65.152144,170.845252,12.98,8.03,4670,RAINBOWSMELT,-41.8,97815.99639
CR,2018,7/17/18,2233,46.002656,-89.61452,-65.152144,170.845252,12.98,8.03,4670,YELLOWPERCH,-40.5,80031.26978
ME,2018,9/6/18,2118,43.086316,-89.401001,-68.558871,94.854157,15.79,9.99,28729,YELLOWPERCH,-38.7,36623.94035
ME,2018,9/6/18,2118,43.086316,-89.401001,-68.558871,94.854157,15.79,9.99,28729,WHITEBASS,-38,16454.23407
SP,2018,7/17/18,2355,46.007058,-89.701077,-61.569513,396.855891,13.22,7.87,9312,WALLEYE,-35.7,115982.9657
SP,2018,7/17/18,2355,46.007058,-89.701077,-61.569513,396.855891,13.22,7.87,9312,RAINBOWSMELT,-43.6,8328.894646
TR,2018,7/23/18,2109,46.038667,-89.666434,-64.105479,410.453418,24.51,13.76,13415,CISCO,-40.8,356476.9532
TR,2018,7/23/18,2109,46.038667,-89.666434,-64.105479,410.453418,24.51,13.76,13415,WALLEYE,-33.6,5456.279896
TR,2018,7/23/18,2109,46.038667,-89.666434,-64.105479,410.453418,24.51,13.76,13415,LAKEWHITEFISH,-34.6,1818.759965
CR,2020,7/20/20,2133,46.001893,-89.61385,-69.14984,71.200826,13.58,8.31,5002,YELLOWPERCH,-39.76,27708.02521
CR,2020,7/20/20,2133,46.001893,-89.61385,-69.14984,71.200826,13.58,8.31,5002,RAINBOWSMELT,-39.04,21947.93394
SP,2020,7/20/20,2308,46.01093,-89.698305,-62.114471,376.722107,14.22,8.15,10051,RAINBOWSMELT,-40.8,360421.9589
TR,2020,7/23/20,2300,46.037992,-89.671327,-61.504486,764.574925,25.08,13.93,14654,CISCO,-38.04,258435.3704
TR,2020,7/23/20,2300,46.037992,-89.671327,-61.504486,764.574925,25.08,13.93,14654,LAKEWHITEFISH,-32.28,26430.89015
TR,2020,7/23/20,2300,46.037992,-89.671327,-61.504486,764.574925,25.08,13.93,14654,WALLEYE,-32.8,8810.296717
CR,2019,7/29/19,2132,46.002233,-89.614029,-69.854843,58.241948,13.07,8.53,5382,YELLOWPERCH,-41,26407.12131
CR,2019,7/29/19,2132,46.002233,-89.614029,-69.854843,58.241948,13.07,8.53,5382,RAINBOWSMELT,-40,25371.54793
ME,2019,9/4/19,2026,43.092235,-89.39747,-64.005991,281.82912,16.45,9.22,25438,UNKNOWN,-38.32,152326.6885
SP,2019,7/22/19,2328,46.007581,-89.700038,-64.017582,243.131919,14.23,8.55,8902,RAINBOWSMELT,-41.3,260994.9562
TR,2019,8/6/19,2138,46.041025,-89.662911,-62.134219,659.603204,25.02,14.01,12206,YELLOWPERCH,-41.5,365888.8252
TR,2019,8/6/19,2138,46.041025,-89.662911,-62.134219,659.603204,25.02,14.01,12206,RAINBOWSMELT,-41.3,358643.502
